match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,10.6,Australia,India,M Labuschagne,SPD Smith,Mohammed Siraj,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,11.1,Australia,India,SPD Smith,M Labuschagne,AR Patel,0,1,,,1,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,11.2,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,11.3,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,11.4,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,11.5,Australia,India,M Labuschagne,SPD Smith,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,11.6,Australia,India,M Labuschagne,SPD Smith,AR Patel,1,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,12.1,Australia,India,M Labuschagne,SPD Smith,Mohammed Shami,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,12.2,Australia,India,M Labuschagne,SPD Smith,Mohammed Shami,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,12.3,Australia,India,M Labuschagne,SPD Smith,Mohammed Shami,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,12.4,Australia,India,M Labuschagne,SPD Smith,Mohammed Shami,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,12.5,Australia,India,M Labuschagne,SPD Smith,Mohammed Shami,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,12.6,Australia,India,M Labuschagne,SPD Smith,Mohammed Shami,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,13.1,Australia,India,SPD Smith,M Labuschagne,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,13.2,Australia,India,SPD Smith,M Labuschagne,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,13.3,Australia,India,SPD Smith,M Labuschagne,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,13.4,Australia,India,SPD Smith,M Labuschagne,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,13.5,Australia,India,SPD Smith,M Labuschagne,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,13.6,Australia,India,SPD Smith,M Labuschagne,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,14.1,Australia,India,M Labuschagne,SPD Smith,Mohammed Shami,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,14.2,Australia,India,M Labuschagne,SPD Smith,Mohammed Shami,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,14.3,Australia,India,M Labuschagne,SPD Smith,Mohammed Shami,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,14.4,Australia,India,M Labuschagne,SPD Smith,Mohammed Shami,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,14.5,Australia,India,M Labuschagne,SPD Smith,Mohammed Shami,4,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,14.6,Australia,India,M Labuschagne,SPD Smith,Mohammed Shami,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,15.1,Australia,India,SPD Smith,M Labuschagne,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,15.2,Australia,India,SPD Smith,M Labuschagne,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,15.3,Australia,India,SPD Smith,M Labuschagne,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,15.4,Australia,India,SPD Smith,M Labuschagne,AR Patel,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,15.5,Australia,India,SPD Smith,M Labuschagne,AR Patel,0,2,,,2,,,,,,
